Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bert,plot,off,off,off,0.022985,0.330019,0.519841,0.143141,0.208333,39.766315
longformer_ext,plot,off,off,off,0.028994,0.194286,0.469097,0.136725,0.212361,21.10472
t5,plot,off,off,off,0.005775,0.137055,0.346154,0.104247,0.180769,45.582143
bart,plot,off,off,off,0.029637,0.153739,0.421412,0.19863,0.223235,42.44956
bert,plot,off,off,off,0.080191,0.28172,0.580379,0.224608,0.257214,37.180422
longformer_ext,plot,off,off,off,0.076156,0.227013,0.559041,0.205176,0.249077,47.641376
t5,plot,off,off,off,0.006663,0.104945,0.313341,0.134969,0.178703,52.262263
bart,table,off,off,off,0.018486,0.215385,0.422581,0.074434,0.174194,30.253
bert,table,off,off,off,0.012125,0.222714,0.410783,0.066924,0.169448,39.445442
longformer_ext,table,off,off,off,0.021205,0.2475,0.375262,0.073529,0.165618,30.561706
t5,table,off,off,off,0.034267,0.211162,0.402754,0.096718,0.185886,27.676759
bart,table,off,off,off,0.048616,0.198953,0.455414,0.13099,0.203822,26.704879
bert,table,off,off,off,0.021244,0.27809,0.412811,0.11943,0.177936,33.083351
longformer_ext,table,off,off,off,0.041159,0.249905,0.496413,0.123741,0.232425,19.568609
t5,table,off,off,off,0.029455,0.175757,0.430213,0.108731,0.203612,42.21783
bart,table,off,off,off,0.034334,0.157756,0.407852,0.161749,0.207197,37.066169
bert,table,off,off,off,0.065008,0.301464,0.537063,0.194678,0.229371,30.932615
longformer_ext,table,off,off,off,0.086596,0.236841,0.535849,0.20983,0.237736,29.468092
t5,table,off,off,off,0.008428,0.112214,0.306954,0.125,0.165468,41.398795
bart,plot+table,off,off,off,0.018697,0.210595,0.426446,0.079602,0.181818,46.041432
bert,plot+table,off,off,off,0.01665,0.218408,0.418079,0.07932,0.169492,33.856885
longformer_ext,plot+table,off,off,off,0.033541,0.285275,0.389234,0.093361,0.169772,28.169062
t5,plot+table,off,off,off,0.036628,0.232094,0.442211,0.087395,0.187605,24.410396
