Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,plot,on,on,on,0.007908,0.188336,0.4125,0.041754,0.125,9.785245
longformer_ext,plot,on,on,on,0.006886,0.235118,0.349835,0.041896,0.138614,17.751973
longformer_ext,plot,on,on,on,0.016684,0.196432,0.419429,0.075676,0.1835,17.751973
longformer_ext,plot,on,on,on,0.034448,0.221597,0.436823,0.068716,0.15343,17.751973
bart,table,on,on,on,0.013922,0.252205,0.419534,0.062291,0.153163,7.824178
bart,table,on,on,on,0.024911,0.171473,0.392552,0.063714,0.161365,7.824178
bart,table,on,on,on,0.052774,0.232713,0.452727,0.071038,0.167273,7.824178
bert,table,on,on,on,0.003684,0.222974,0.222033,0.040017,0.092726,0.822857
bert,table,on,on,on,0.009056,0.277087,0.354144,0.061381,0.132165,0.822857
bert,table,on,on,on,0.011813,0.257048,0.292549,0.059655,0.109804,0.822857
t5,table,on,on,on,0.007061,0.201913,0.358354,0.041262,0.125908,26.14094
t5,table,on,on,on,0.012137,0.162168,0.372323,0.039604,0.135091,26.14094
t5,table,on,on,on,0.012235,0.213868,0.423415,0.046921,0.136585,26.14094
longformer_ext,table,on,on,on,0.015095,0.228984,0.339093,0.047619,0.131749,2.763562
longformer_ext,table,on,on,on,0.013996,0.170119,0.363775,0.042683,0.149163,2.763562
longformer_ext,table,on,on,on,0.040859,0.208041,0.4,0.060552,0.144,2.763562
bart,plot+table,on,on,on,0.018884,0.246202,0.421314,0.067081,0.156134,12.877226
bart,plot+table,on,on,on,0.032369,0.169096,0.391632,0.080469,0.177406,12.877226
bart,plot+table,on,on,on,0.035227,0.205804,0.437376,0.061753,0.172962,12.877226
bert,plot+table,on,on,on,0.0061,0.261144,0.257196,0.04461,0.09935,-2.870469
bert,plot+table,on,on,on,0.010955,0.283244,0.38631,0.075591,0.147128,-2.870469
bert,plot+table,on,on,on,0.011852,0.26938,0.322992,0.071459,0.122397,-2.870469
t5,plot+table,on,on,on,0.01421,0.233392,0.418733,0.041436,0.151515,10.747879
t5,plot+table,on,on,on,0.007826,0.143689,0.360862,0.048561,0.140036,10.747879
t5,plot+table,on,on,on,0.010944,0.195258,0.434595,0.052004,0.136216,10.747879
longformer_ext,plot+table,on,on,on,0.01003,0.208804,0.375169,0.054127,0.14305,25.071613
longformer_ext,plot+table,on,on,on,0.022562,0.15615,0.372011,0.078083,0.157662,25.071613
longformer_ext,plot+table,on,on,on,0.029738,0.190099,0.425532,0.074627,0.153191,25.071613
bart,plot,off,off,off,0.016016,0.24021,0.438395,0.091954,0.169054,16.052102
bart,plot,off,off,off,0.018787,0.13283,0.346225,0.071956,0.160221,16.052102
bart,plot,off,off,off,0.030256,0.225726,0.468227,0.127374,0.205128,16.052102
bert,plot,off,off,off,0.007767,0.275619,0.309252,0.049492,0.116603,5.428309
bert,plot,off,off,off,0.023113,0.278029,0.434385,0.081466,0.158698,5.428309
bert,plot,off,off,off,0.00842,0.288649,0.400675,0.08338,0.127181,5.428309
t5,plot,off,off,off,0.023303,0.236563,0.445122,0.094801,0.182927,20.683144
t5,plot,off,off,off,0.011131,0.133549,0.358238,0.084453,0.162835,20.683144
t5,plot,off,off,off,0.029366,0.19646,0.451462,0.100821,0.180117,20.683144
longformer_ext,plot,off,off,off,0.007357,0.162482,0.276923,0.041131,0.133333,21.638759
longformer_ext,plot,off,off,off,0.015374,0.162704,0.386986,0.111492,0.19863,21.638759
longformer_ext,plot,off,off,off,0.010636,0.137383,0.296221,0.06346,0.124617,21.638759
bart,table,off,off,off,0.016374,0.266288,0.431981,0.086124,0.169451,3.05489
bart,table,off,off,off,0.013519,0.158945,0.365416,0.062092,0.150082,3.05489
bart,table,off,off,off,0.026656,0.228248,0.45323,0.094686,0.162006,3.05489
bert,table,off,off,off,0.003245,0.248545,0.245984,0.044221,0.099398,1.557616
bert,table,off,off,off,0.019231,0.271287,0.369748,0.063919,0.139496,1.557616
bert,table,off,off,off,0.007999,0.261861,0.326791,0.063042,0.103149,1.557616
t5,table,off,off,off,0.017113,0.277244,0.425216,0.081784,0.182942,10.626831
t5,table,off,off,off,0.015543,0.147787,0.357561,0.075314,0.163743,10.626831
t5,table,off,off,off,0.033605,0.207555,0.412698,0.083499,0.156746,10.626831
longformer_ext,table,off,off,off,0.005669,0.220611,0.344444,0.033408,0.142222,-1.912254
longformer_ext,table,off,off,off,0.011143,0.170914,0.386646,0.049767,0.170807,-1.912254
longformer_ext,table,off,off,off,0.016483,0.201676,0.418562,0.065634,0.132848,-1.912254
bart,plot+table,off,off,off,0.024106,0.246034,0.470109,0.087193,0.1875,25.634548
bart,plot+table,off,off,off,0.022679,0.145631,0.386121,0.078431,0.176157,25.634548
bart,plot+table,off,off,off,0.028262,0.201312,0.464171,0.087889,0.190374,25.634548
