Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,plot+table,on,on,on,0.00396,0.104766,0.289474,0.076739,0.138756,35.197714
bart,plot,off,off,off,0.009822,0.160777,0.361446,0.076613,0.176707,22.493326
bert,plot,off,off,off,0.012412,0.280849,0.447451,0.10219,0.17898,30.434322
longformer_ext,plot,off,off,off,0.00989,0.225991,0.370757,0.068063,0.169713,19.243369
t5,plot,off,off,off,0.005633,0.158219,0.360996,0.075,0.170124,26.415
bart,plot,off,off,off,0.010675,0.1462,0.357664,0.117216,0.189781,26.058567
bert,plot,off,off,off,0.027047,0.294604,0.517103,0.153226,0.203219,44.433602
longformer_ext,plot,off,off,off,0.029619,0.281392,0.518331,0.147022,0.217446,46.254811
t5,plot,off,off,off,0.005726,0.119506,0.3,0.070632,0.177778,41.905
bart,plot,off,off,off,0.007973,0.115227,0.352657,0.138015,0.193237,50.345036
bert,plot,off,off,off,0.072746,0.283902,0.567141,0.177215,0.232227,38.989888
longformer_ext,plot,off,off,off,0.004409,0.082843,0.233296,0.052213,0.124575,62.803247
t5,plot,off,off,off,0.001805,0.079533,0.244586,0.091954,0.150318,57.8548
bart,table,off,off,off,0.020072,0.177428,0.35503,0.04451,0.136095,19.631786
bert,table,off,off,off,0.009236,0.26485,0.302521,0.064269,0.13751,19.05641
longformer_ext,table,off,off,off,0.018038,0.211095,0.327645,0.054732,0.129693,27.800862
t5,table,off,off,off,0.009647,0.190106,0.401361,0.061433,0.173469,26.156204
bart,table,off,off,off,0.013722,0.160204,0.404643,0.096506,0.182421,15.904641
bert,table,off,off,off,0.021627,0.280687,0.4375,0.106599,0.163851,31.71283
longformer_ext,table,off,off,off,0.015561,0.196512,0.37644,0.06932,0.171575,43.805893
t5,table,off,off,off,0.008229,0.154313,0.326821,0.071301,0.184725,50.865272
bart,table,off,off,off,0.030015,0.176697,0.44086,0.140086,0.2,45.526938
bert,table,off,off,off,0.044213,0.310886,0.538867,0.134565,0.200264,18.562983
longformer_ext,table,off,off,off,0.056913,0.220435,0.486989,0.162011,0.219331,44.173864
t5,table,off,off,off,0.008148,0.102992,0.296471,0.089623,0.155294,57.147905
bart,plot+table,off,off,off,0.013063,0.172988,0.316522,0.059337,0.166957,38.471693
bert,plot+table,off,off,off,0.014345,0.268801,0.400411,0.084362,0.162218,26.300708
longformer_ext,plot+table,off,off,off,0.015145,0.223307,0.388966,0.080221,0.182069,26.142959
t5,plot+table,off,off,off,0.012461,0.184786,0.386617,0.08209,0.174721,41.449381
